tweet,ensemble_sentiment
southwestair app error say click cant click hyperlinked httptcoihwnfkz,negative
southwestair need help one pick phone,negative
southwestair anyone answering phone morning iflyswa hold minute counting,negative
southwestair trying go far away kingscollegelondon possible charity today help u jailbreak rag,neutral
southwestair handing ticket sleep,neutral
southwestair dal due sleet sun evedidnt see listed city rebook fly dca,neutral
southwestair great la clarence frank guy hoot thanks,positive
southwestair receive drink coupon point friend,negative
southwestair absolutely required flight going cancelled flighted,negative
southwestair sunday nd columbus denver got travel alert southwest app rescheduling,neutral
southwestair childrens rate flight,neutral
southwestair often airplane seatstray table cleaned sanitized rather air purifier clean seat wifi,negative
southwestair lost luggage birthday wish find luggage,negative
southwestair youd love see girl inspired becoming pilot rt free albuquerque event httptcorfxlvkgdh,neutral
southwestair troubadour imaginedragons destinationdragons httptcorklqxxawhc,neutral
southwestair hey follow u dm question,neutral
southwestair got text cancelled flightled now help please,negative
southwestair sitting outside gate min lga move another gate wee baking plane,negative
southwestair grand total landing getting bag one hour thats sad,negative
southwestair staff really kind delay luggage disappointing,negative
southwestair hey southwest wan na go see imaginedragons guy lot better jet blue,positive
southwestair landed hour late ind den min late flightr bag cool,negative
southwestair hey sourhwest send atlanta see imaginedragons fly southwest forever u guy best airline,positive
southwestair horrible experience airlinehave reconsider future flight customer service httptcoeczhcmmvi,negative
southwestair salted honey roasted vote bring back salted peanut dread year honey roasted httptcorhwktqfo,neutral
southwestair swa send customer survey earn toward flight legit,neutral
southwestair tifffyhuang met twitter friend waiting outside troubadour destinationdragons httptcolfwafad,neutral
southwestair still offer discount seat child rather put seat lap,neutral
southwestair wanting finding gate apology exp good im sure connecting leaving sac chill,negative
southwestair suck passenger leaving plane make room luggage checking luggage getting back delayed flight city,negative
southwestair cool plane said left terminal diff city cold betch flying friendly sky,positive
southwestair,neutral
southwestair san diego delayed per usual take home,negative
southwestair find travel fund available use f past changed flight dont see option account,neutral
southwestair fortunemagazine great news,positive
southwestair making dream come true destinationdragons scavenger hunt win chance see imagine dragon go,positive
southwestair father kind enough offer pay hotel cant use coupon pay fl help,neutral
southwestair every city nationwide sale fabulous fare nothing buffalo except city,negative
southwestair voucher w swa expires extension lot luv,negative
southwestair well plane arrived pretty much time degree ground texas much complain,positive
southwestair sure still dallas plane gate min update poor service,negative
southwestair loved one atl ind cancelled flightled due ice indy sitting indy bone dry tomorrow snow,negative
southwestair alls well got comped multiple bag made day httptcoaavvoreph,positive
southwestair thanks ride chicago kmdw b httptcocpypgfnd,positive
southwestair booked th save emergency exit got ta stretch,neutral
southwestair im line airport right now cover hotel fair sleep airport,negative
southwestair jasonwhitely flt emer stop albuquer heart condition crew awesome pilot maverick divert,positive
southwestair thanks much appreciate kindness adjusting reservation even snowstorm still prefer southwest,positive
southwestair cancelled flightled im stranded st louis sure tomorrow sleep airpt,negative
southwestair think supposed go houston well case someone check,neutral
southwestair stuck runway delayed wednesday good way take care loyal customer,negative
southwestair guy held thank take mdw now oakland thanks,positive
southwestair first time flying youve definitely won,positive
southwestair best sitting gate waiting given information delayed isnt making easy,negative
southwestair rock open letter attendant httptcozfroinpszi lt child inspired thank,positive
southwestair luved sjc gate agent boarded dal didnt name represents brand well,negative
southwestair thanks awesome connection delayed staff crew purely amazing,positive
southwestair great got u back time thanks,positive
southwestair mph wind anything florida right now help sister,neutral
southwestair swagglikebean take,neutral
southwestair son flying south west nolaorlando hope enter win contest destinationdragons,neutral
southwestair thx smooth landing today flymidway applauded now u abt weather takemeback httptcooqzwclla,positive
southwestair frustrated idea great crew thanks happycustomer,positive
southwestair lunch time got call answered,neutral
southwestair parent frm stlatl cancelled flighted nite whens next one,negative
southwestair well mom called earlier guy hold close hour,negative
southwestair there hour wait reflight booking problem line omaha,negative
southwestair say cant progress,negative
southwestair help reflight booking problem cancelled flighted fwhei,negative
southwestair alist pref doesnt good direct atl always wifiless,negative
southwestair reliable system couldnt find info said refund credit card,negative
southwestair hour sorry dont oh well screw weekend az right eat hotel problem,negative
southwestair early bird great employee awesome passenger killed buzz,positive
southwestair absolutely sick s wifi,negative
southwestair airfare available december year major trip coming im anxious book,negative
southwestair ahah love sw,positive
southwestair contest destination dragon want try everything go,neutral
southwestair lucky people annamarie norris bwi hope recognized excellent cust service,positive
southwestair upcoming rr changesdeval trying tell fly southwest anymore loyal far,neutral
southwestair traveling bwi nmaryland morrw chance cancelled flightled inclement weather chance earlier,neutral
southwestair dultch kid want fucking money scumbag,negative
southwestair wish wouldve seen hour ago wanted see tonight bad cry,negative
southwestair easy,neutral
southwestair ill drop next time visit,neutral
southwestair sacintlairport feel good day fly thanks ontime departure sna bestinclass ft takemehome,positive
southwestair great trip yesterday outstanding attendant,positive
southwestair customer touch internationally mexico lost baggage,neutral
southwestair rndtrp djqkc rt djimpact youre trying make travel reservation vega may nd late,neutral
southwestair im everyone nice helpful im hoping well fly thank,positive
southwestair dultch thats horse radish,negative
southwestair thanks concerned conflicting text receiving drive hour now,negative
southwestair thank,positive
southwestair thank see u next wednesday fll save peanut,positive
southwestair hows life noc,neutral
southwestair tell marry lamp give ticket vega show please desperate,neutral
southwestair current promotionscodes nashvilledenver thank,neutral
southwestair promotion fly roundtrip flight atl companion pas year travel,neutral
southwestair happy finally put southwestairlines boarding pas passbook make life much easier,positive
southwestair anything go vega show please man,neutral
southwestair go delayed chicago offer never intend fly,negative
southwestair omg omg omg,neutral
southwestair julgood traveling one got miscommunicated,negative
southwestair wtf delayed go board boarding pas disappeared southwest app,negative
southwestair tweet popped phone aminaur follows missing favorite southwest pilot brother,neutral
southwestair special fare student visit prospective school expensive visit graduate program,neutral
southwestair eternally grateful ticket vega show god bless,neutral
southwestair baggage woman said blatimore plane morning now cant find wtf,negative
southwestair httptcottxrsynlxr doesnt work fyi,negative
southwestair please help die see vega show amazing hear song real,neutral
southwestair need imagine dragon need air please hoom vega show,neutral
southwestair committed okay please hook destinationdragons,neutral
southwestair die got ticket destinationdragons invited funeral,negative
southwestair easy pleasant united difficult stressful learned lesson,negative
southwestair sell nonexistent soul go see destinationdragons,neutral
southwestair theellenshow imaginedragons job interferes wellen show amp concert alway treasure liveatfirefly experience,neutral
southwestair got taken care thank lt,positive
southwestair sure trust statement many small number word httptcoosrlhfho,negative
southwestair posted schedule covering date range defcon,neutral
southwestair late flightly youve always late please back old swa,negative
southwestair totally suck flight weathered existence stacy tucson helped overnight vega,negative
southwestair guy alive ive hold minute counting,negative
southwestair gary kelly ashamed running corporation way,negative
southwestair guy rip cancelled every booked employee buyer beware,negative
southwestair travel credit used buy expires day find lower rate,neutral
southwestair please acknowledge attendant jeff wernicke beat class service sw,positive
southwestair lacma fairfax,neutral
southwestair want money paid early bird refunded noone seemed able three different sw worked,negative
southwestair filled form website darn guess ill cross finger,negative
southwestair thank much access destinationdragons tonight thetroubadour imaginedragons cry dying rn ripme,positive
southwestair excited last minute trip disneyland doesnt know yet httptconkafbjyari,positive
southwestair arent based chicago hunt la home city please bring one home,neutral
southwestair heyo causing ewr hou delayed,negative
southwestair dal pvd,neutral
southwestair wifi stink im mad wouldnt hate got money refunded,negative
southwestair cancelled flight arrival amp departure nashville pm weather headline pm liveonfox februaryfreezefox,negative
southwestair spare ticket vega forever grateful destinationdragons,neutral
southwestair theellenshow imaginedragons destinationdragons,neutral
southwestair thank much httptcotgsbdfps,positive
southwestair chance change include northeast airport jetblue,neutral
southwestair hold minute amp one know win ticket youre still handing destinationdragons,negative
southwestair minute phone im given another number call now still hold httptcoztkeeup,negative
southwestair pleasecan last ticket best friend destinationdragons httptcoeqqinfszh,neutral
southwestair rule,neutral
southwestair one call know anything im wondering destinationdragons,negative
southwestair saw ppl winning ticket still win,neutral
southwestair okaaaaay ugh im min away,negative
southwestair go frank go,neutral
southwestair please please please httptcoxijifymvqp,neutral
southwestair yes need luggage tomorrow morning,negative
southwestair min away,neutral
southwestair doesnt care sna agent jacquie plitt rude gal bad attitude fly usairways cabo thx httptcovbuxfpckfa,negative
southwestair happily delayed cockpit visit blew fouryrolds mind thanks capn httptcocmqezxvdh,positive
southwestair need make whole used tkt back n phx due rude sna agent jacquie plitt flew usairways cabo httptcoqxwwpa,negative
southwestair min httptcobbzijwfdl,neutral
southwestair route mexico city chicago midway using service,neutral
southwestair hour long one best flight ive kudos crew airline general,positive
southwestair many left,neutral
southwestair swa agent jacquie plitt orangecounty sna rudely tell youre going cabo today manana back phx flew usairways,negative
southwestair thanks good u military folk cold stlouis sure enjoyed httptcorcdhqj,positive
southwestair thanks losing luggage,negative
southwestair u cant state playing hunt destinationdragons ticket lefteven one,negative
southwestair im lol anyone arrived yet,neutral
southwestair left behind ipad air bradley bwi plane already left time realized possibly help,neutral
southwestair many left im min wway,neutral
southwestair well car amp free place stay known unacceptable treatment spvsr sally cleveland disappointed,negative
southwestair dm follow,neutral
southwestair asshole cut front system blow httptcoujtvtcpa,negative
southwestair pretty stupid probably wont fly plus hearing nightmare story overbooked flight,negative
southwestair im min wait,neutral
southwestair denver ill happy,positive
southwestair nonstop midway boise summer season looking book labor day trip ty,neutral
southwestair minute without talking human point recommend call americanair httptcoysqbvqmgb,negative
southwestair one use companion pas w point booking problem cash fare thx,neutral
southwestair im tho,neutral
southwestair u guy cancelled bna flight amp dont bother alert passenger give,negative
southwestair thank much sending la destinationdragons tonight gon na rock,positive
southwestair oh see thanks supporting padresst,positive
southwestair yeah haha never one expensive much fun destinationdragons,positive
southwestair beautiful day seattle httptcoiquppvqs,positive
southwestair best video seen teamspirit httpstcoxjenanye,positive
southwestair samoore thank kind response acknowledgement apology go long way southwestrocks,positive
southwestair thanks minute someone eventually help u took care,positive
southwestair going weekend friend birthday point reflight booking problem,negative
southwestair one bag didnt make destination claim ticket way help status location,negative
southwestair next free cocktail,neutral
includes kciairport southwestair inclement weather may impact scheduled service reflight booking problem option available httptcokeyrpflhil,negative
southwestair okay thank tweet earlier hr ago saying won amp send dm deleted,neutral
southwestair yes attitude nasty comment,negative
southwestair guy rock easy quick affordable change bestairlineever neverchange,positive
southwestair credit expires month possible way extended,neutral
southwestair hour delay atl due air traffic controllove missing entire day vacation unhappycustomer mytimeismoney,negative
southwestair question re atl companion pas offer know need revenue roundtrips whats revenue thnx,neutral
southwestair cancelled flightled refund cancelled flightlations happen min phone wait amp painful music unacceptable come,negative
southwestair refer friend southwest credit card point,neutral
southwestair dm southwestverity needed,neutral
southwestair hello talking southwestverity say moved sent voucher work u help,neutral
southwestair following now,neutral
southwestair go want badly dont know dm email help wmnlifehotmailcom,neutral
thank help shannon great customer service southwestair,positive
southwestair hour late made sf maybe help earlier sunday,negative
southwestair another ride sw employee printed boarding pass deficiency training obviously,negative
southwestair thanks lindsey amp southwest twitter team great service amp speedy resolution luvagent swa,positive
southwestair apparently mechanic flown fix planesnot assuring sign,negative
southwestair please help really want fly guessweflyingdelta,positive
southwestair oh ticket,neutral
southwestair now accepting apple passbook app boarding pass app work iphone amp ipodtouch ipad httptcoxxsaombdgs,neutral
southwestair thank dming now,neutral
southwestair cancelled flight bna today needtogethome,negative
southwestair huge problem someone whose ticket cancelled flighted mid trip dm,negative
southwestair flight sunny sfo delayed hour others cancelled flightled left right little update help southwestair,negative
southwestair please explain rep ignoring technical issue passing buck good business model lucky limited,negative
southwestair understood frustrating buy early bird check day go sale mid b feel ripped,negative
southwestair thats happens power level go foot air,neutral
southwestairs ceo kelly draw record crowd bwiairport business partnership breakfast httptcocvbaolcbl httptcowtapxa,neutral
southwestairs ceo kelly draw record crowd bwiairport business partnership breakfast httptcohrvuktpvn httptcomydnvbzaz,neutral
southwestair please start charging carryon luggage carryonbagssloweverybodydown,negative
southwestair sea den south sound volleyball team way httptcotncxcldm,neutral
southwestair see moving brother law graduation th thanks,neutral
southwestair thank,neutral
southwestair imagine dragon ticket left tomorrow velourlive utah love go available,neutral
southwestair fare see flight fall absoulutely lowest,negative
southwestair swa low fare ontime service great manufactured quirkiness mmm much signed captiveaudience,negative
southwestair please start offering service triflight ashevilleair airport drive hr use u,neutral
southwestair flying now jax den paid wifi barely functional couldnt work wanted never,negative
southwestair nashville cancelled flightled another ive trying call amp human,negative
southwestair delay understandable look time boarding time weird,negative
southwestair dm now,neutral
southwestair already booked ticket august thth cant wait vacation,positive
southwestair frustrated bought early bird day ticket released got midb ticket spend nothing,negative
southwestair murraysawchuck,neutral
southwestair maybe machine,neutral
southwestair plane doesnt work luxury paid go away keep money need biz model,negative
southwestair extend call day expireswhy cant extended nowmightmismybrosgraduation,negative
southwestair y airline fly havent seen anything yet,negative
southwestair thats awesome love flying swa,positive
southwestair guy attendant last hilarious,positive
southwestair thanks info quick response,positive
southwestair shhhh dont want something steal deal,positive
southwestair cancelled flighting flight minute takeoff amp sitting min runway rescheduled badservice,negative
southwestair go scavenger hunt im boston,neutral
southwestair hi flying swa today son peanut allergy way request crew serve peanut thx,neutral
southwestair deborah helped,positive
southwestair give guy raisegreat start az mke,positive
southwestair intl friendly,negative
southwestair ha ha make break either way,neutral
southwestair horrible customer service empty seat early wantcharge double home early instead usual late,negative
southwestair answer phone change plan srsly,negative
southwestair little accommodating extending creditwhats extra daysnotahappytraveler,negative
southwestair,neutral
southwestair going inconsistent enforcing rule id prefer randomly take freq flyer obey,negative
southwestair show luvits degree snow imdetermined go destinationdragons httptcooxmcwgab,neutral
southwestair sent,neutral
southwestair relay concern really mean amp howwhy u keep letting people flight bag larger u state allowabl,negative
southwestair number use outside u thx,neutral
southwestair long take point rr shopping post account got email saying ive earned point dont see em,negative
southwestair thanks know route currently newark wondering new one horizon,neutral
southwestair oh gosh going dm now thank,positive
southwestair thank much youre amazing im going cry omg,positive
southwestair delayed,negative
southwestair couldnt make fund forfeited show trying book another using fund im,negative
southwestair dmed,neutral
southwestair last chance win destinationdragon,neutral
southwestair make delay go away maybe upgrade kat seat headed columbus,negative
southwestair fort lauderdale bwi cancelled trip id,neutral
southwestair geekstiel know last chance,neutral
southwestair vindictivetk larry david work southwest,neutral
southwestair flying southwest first time lga layover atlanta,neutral
southwestair hi wanted see new route planned year newark love flying guy hope,positive
southwestair thank well touch moveaboutthecountry,positive
southwestair fjbfsc need receipt showing charge amex xx keep getting sent,negative
southwestair need tsa pre doesnt show mine,negative
southwestair getting run around today customer service amp disconnected customer relation given twice help,negative
southwestair hour already,neutral
southwestair bwi isp ready go thanks keeping u warm frigidfriday httptcobfpfweyku,positive
southwestair love love love southwest rock always httpstcoqvsffrdu,positive
southwestair contact requesting charity donation thankyou,neutral
southwestair shout crew taking amazing care u double thankyou,positive
southwestair status stlaus,neutral
southwestair please hate fly different airline youre fav,positive
southwestair flying delta week gogo good tweet sent didnt even send landed thats bad,negative
southwestair sure thing,neutral
southwestair book hotel twice ahhhhh,negative
southwestair save mile visit family impact many time see mother planned change rule,neutral
southwestair jackpot legroom httptcozoicegli,neutral
southwestair go airline now much say care now see much right now suck,negative
southwestair loyal southwest beginning unhappy devaluation,negative
southwestair destinationdragons id favorite band met bestfriends thanks life changing see,positive
southwestair live southwest imagine dragon favorite band met bestfriends thanks amazing,positive
southwestair longer flight series wifi great retire,negative
southwestair excruciatingly slow internet swa flight now norm rather exception addressed,negative
southwestair yes thank sent dm,positive
southwestair last chance destinationdragons ticket die happiness won,neutral
southwestair inbrowser hover intrusive annoying fact wifi work one device sort sad,negative
southwestair sign screen major mobile issue responsive design wasnt working properly nexus,negative
southwestair sure read southwest doesnt believe liable incident fault sw lost,negative
southwestair whats new inflight wifi service super crappy user experience miss old provider,negative
southwestair damn cold sitting runway heat,negative
southwestair please follow dm thx,neutral
southwestair sent dm,neutral
southwestair love air travel doesnt easier,positive
southwestair received awesome phone help jim today helped switch around flight booked point,positive
southwestair repeating policy basically repeating fuck customer ill shopping new airline asap,negative
southwestair yeah thats happened im really pissed kind thing expect u austrian,negative
southwestair glad see know keep money pocket thanks voucher return lost bag,negative
southwestair call customer service sitting tarmack hr lost bag give voucher,negative
southwestair love go destinationdragons imaginedragons show tomorrow utah velourlive ive trying hard,positive
southwestair hope take selfie stick plane today goingtovegas,neutral
southwestair thats bull add fare cart locked made way paypal,negative
southwestair working different device though help appreciated,neutral
southwestair trouble wifi matter redirected back getconnected page even though say im connected,negative
southwestair account even aware destinationdragons contest one youre fucking,negative
southwestair thank cant wait either,positive
southwestair even mean im taking letting elite customer paid seat fill seat go empty anyway,negative
southwestair sweet glad hear ill keep guy mind next time,positive
southwestair great job achieving city bwi,negative
southwestair hello cancelled flightled destinationdragons one desk kci know fuck happening,negative
southwestair employee bwi amazing,positive
southwestair thanks responding,positive
southwestair thanks leaving hanging destinationdragons flight fucked now help,negative
southwestair hi winter wx advisory issued stl snow amp ice amp cold oh issue travel advisory,neutral
southwestair travel advisory posted den make change ticket anything need know call,neutral
southwestair luxury people im going spoiled,negative
southwestair three flight three check agent enough missedflight back jet blue,negative
southwestair releasing flight september found fly direct lbb la excited tripofalifetime,positive
southwestair unable book travel right now website app help,negative
southwestair gracias appreciate,positive
southwestair fantastic thats best service ive,positive
southwestair love win ticket take son imagine dragon provo saturday night crossed finger destinationdragons,positive
southwestair promotion said two free round trip flight nope pay extra chi vega baitampswitch,negative
southwestair extra luggage cost,negative
southwestair turned nonstop laguardiadal stop stl wth im thinking sorta comp order really,negative
southwestair flying week bringing blanket bc freezing,positive
southwestair last flight consistently ran behind schedule whats,negative
southwestair sweet promo code help visit family please lol,neutral
southwestair sinus contend two painful landing rather one missed preregistration window beyond frustrated,negative
southwestair airline change ticket price middle day annoyed,negative
southwestair delayed youre killing late flightly,negative
southwestair love imagine dragon much eould die got ticket,positive
southwestair wannaa go vega show bad id doo anything destinationdragons,neutral
southwestair love imagine dragon o flipping much pls destinationdragons,positive
southwestair love go atlanta show,positive
southwestair anything ticket vega anything love imagine dragon much,positive
southwestair another delay wow,negative
southwestair dont want whiny accommodated several passenger whose earlier cancelled flightled long,negative
southwestair awesome experience destinationdragons,positive
southwestair hi company fly time wondering please share link amp read httptcololghpcdu,positive
southwestair yes destinationdragons san diego,neutral
southwestair cant begin tell slow plane wifi cant even pull email paying,negative
southwestair pick imaginedragons show destinationdragons,neutral
southwestair betsy besty gettin stuck la might bad mostbut want home homewardbound betsy besty thankyou,negative
southwestair landing ric right now havent even left atl picked delta maybe,negative
southwestair love ya bringin hour late leaving now weve sitting runway min fail,negative
southwestair never mor e disappointed company charging use wifi work apps parhetic,negative
southwestair picked bag seatac clothes soaking wet bagawim httptcongxaloml,negative
southwestair cool best airline company hooked imaginedragons ticket vega,positive
southwestair appreciate reply hopefully lax agent memo cheer,positive
southwestair help ticket vega event stoked,neutral
southwestair notice separate button guitar actual music pic band take note,neutral
southwestair give ticket atlanta anything anything,neutral
southwestair offering u absolutely nothing trouble either blame tsa,negative
southwestair link doesnt work,negative
southwestair realized luv voucher expired today chance getting luv extension please veryloyalcustomer,neutral
southwestair itd nice answer even simple want know,positive
southwestair hour delay make nice offer rescheduling next day,negative
southwestair nice trip back home looong vaca httptcotrvfncedl,positive
southwestair paid wifi austin san diego wasnt useable possible refund conf xxvm,negative
southwestair usually excellent swa,positive
southwestair know trying patience easier cheaper way tpa pdx stuck w u turned hr mci,neutral
southwestair figured streaming wouldnt work per tos nascar site taking longer minute load,negative
southwestair now wait wait straight fly personal business now sure bebetter,negative
southwestair gate attendant let someone board whose boarding pas kept reading invalid messed passenger log,negative
southwestair android wifi experience terrible ripoff cant nascar mrn disupdates budweiserduels,negative
southwestair dear swa fly lot time amazing today unacceptablei sitting midway delayed min,negative
southwestair know finally lined cattle board sw original departure time badcustomerservice,negative
southwestair seems make money opening seat desirable,neutral
southwestair jason gate san made afternoon southwestairlines stellarservice thanks,positive
southwestair thanks adding straight flight columbus oakland,positive
southwestair look forward direct flight california see family often thank michaelbcoleman byebyeusairline,positive
southwestair great customer service come knowexpect luv dropped eb check help sight,negative
southwestair cant help made mistake dropped early bird check end luv,negative
southwestair roundtrip ticket now need change one leg trip nearby airport possible via website,neutral
southwestair please something speed wifi connection plane might well nonexistent,negative
southwestair crew tonight outstanding god bless medically trained passenger board,positive
southwestair weather seriously even excuse point awful service summer,negative
southwestair seriously worst dont remember last time someone knew wasnt delayed cancelled flightled etc,negative
southwestair way entry la vega event see imaginedragons perform destinationdragons,neutral
southwestairgive crew swa high five avb guy nice xw landing bostonlogan nicely done,positive
southwestair charge much moving full earlier seat available doesnt make sense,negative
southwestair now wifi come,negative
southwestair brd nowfrustrated go buf rocif tld flt gng b held earlier messcng bk unable due overbk,negative
southwestair honest didnt expect fast response thank chiberia go,positive
southwestair making miracle customer service department gave far one friendliest phone call wheelsup,positive
southwestair already signed thanks looking forward trying southwest experience,positive
southwestair unscheduled aircraft change please better system place worth paid upgrade refund,negative
southwestair good know perhaps execution,neutral
southwestair love hold phx late passenger make u hour late great job,negative
southwestair tried return orig booked flt told overbookedgng diff destfeel switched purpose bec overbook,negative
southwestair amiltx forgiven loved customerits never left ll thats youre bae,positive
southwestair time estimate luggage well sure fill survey,negative
southwestair hear bad thing flying last weekend flight crew awesome thank,positive
southwestair sorry spam awesome see imaginedragons vega help absolutely amazing,positive
southwestair dm sent,neutral
southwestair please dm question,neutral
southwestair done,neutral
southwestair let chat flight bwi carolina area girl break ive resort usair day,neutral
southwestair sent,neutral
southwestair remember wouldnt let pm seat available now delayed worst airline badservice,negative
southwestair michaelbcoleman thanks making new direct san francisco,positive
southwestair crew great u today traveling ft lauderdale louisville kid thanks,positive
southwestair please work contract triflight offer service,neutral
southwestair please reply dm,neutral
southwestair youre going compensate u two plane change atlanta right,neutral
southwestair next enforcing boarding procedure,neutral
southwestair roger wilco,neutral
southwestair enter passport information existing reservation check,neutral
southwestair way help entry vega event boyfriend amp imaginedragons fan awesome,positive
southwestair nvm gate said theyre holding connection thanks quick response,positive
southwestair rescue sundown chicago next stop san antonio httptcorqbpmwettq,neutral
southwestair yall say flt time yet havent boarded departure bc waiting new crew subterfuge,negative
southwestair yall rid austin cabo flight together there zero nonstop aug sept,negative
southwestair looking forward beat music available today thats pretty cool,positive
southwestair best airfare price got ta luv,positive
southwestair flt delayed scheduled miss connection help hhp,negative
southwestair thank,positive
southwestair didnt say anything patience said probably last time fly southwest suggest others,negative
southwestair,neutral
southwestair iphone app add passbook support airline travel httptcoljzdthdbv,neutral
southwestair ticket atlanta show love go sister,positive
southwestair panchojoe mustve heard u wrong sweet mixtapethough recordi didnt leave s s left,neutral
southwestair thanks opportunity,positive
southwestair dont tweet,negative
southwestair problem wasnt issued position today gate option upgrade good youre,negative
southwestair might worst airline,negative
southwestair truly best customerservice something go wrong matter big small issue fix thank,positive
southwestair easiest airline deal loveeee much,positive
southwestair canned empathize think team lost right capitalized lowercase team day,negative
southwestair thank,positive
southwestair yes please,neutral
southwestair ok gotcha,positive
southwestair oopsno functioning bathroom fairly full hope everyone new york hold included,negative
southwestair im excited perhaps scale excitement back week,positive
southwestair imaginedragons please help best friend ticket destinationdragons much thank,neutral
southwestair way amp best friend ticket destinationdragons mean everything world u,neutral
southwestair livvyports became best friend bcuz imaginedragons way,neutral
southwestair amp sammijons best friend imaginedragons chance ticket destinationdragons,positive
southwestair thank guy,positive
southwestair trip month awaywhy consider around corner setting change,neutral
southwestair ceo gary kelly absolutely hero southwestrally bwi bestemployees swaculture httptcojtxyhqhfjj,positive
southwestair site gmail facebook etc,neutral
southwestair ceo gary kelly america loved flown airline southwestrally bwi bestemployees swaculture swapic,positive
southwestair tried inflight wifi fail,negative
southwestair booking problem late summer travel auscun direct disappear,negative
southwestair dresparkles thank finally made destination,positive
southwestair luvin flight today dont change please add paypal payment option,positive
southwestair presceo gary kelly therofo addressing bwi based employee cbsbaltimore httptcooiuqttz,neutral
southwestair youre killing always delayed sandiego sf ugh,negative
southwestair start booking problem next year super bowl time help,neutral
southwestair nonstop sjc bna well take sfo oak pleaseeeeee thank,neutral
southwestair almost bumped hrl minute early staff rude asked problem,negative
southwestair experiencing worst customer service currently waited c rep put hold actually hung,negative
southwestair make flying unobaseball fun crew led plane singing happy birthday one guy luvintheair,positive
southwestair thank please follow send,neutral
southwestair received birthday card amazing made smile joy nice video thanks,positive
thanks southwestair heartlanta,positive
southwestair idea spring sale soon travel late august early september going pa lax,neutral
southwestair thanks b day concert watched noticed fist bumphigh five end rock version,positive
southwestair doesnt terminal b lga precheck make want never fly airline,negative
southwestair announced nonstop flight dallas columbus well next time igotmonte best youll le time airport hopin,positive
southwestair boyfriend loved imaginedragons amp awesome go vega event way help,positive
southwestair reviewing oversize policy hardcase golfbags free weight add guitar instrument list,neutral
southwestair saianel said dont know,neutral
southwestair cant find cheap dc st louis price went crazy april weekend,negative
southwestair cant dm without following,neutral
southwestair ifthesneverstopped wed still rocking charttopping hit s,neutral
southwestair th,neutral
southwestair yall know new route hou aruba amp puerto vallarta available,neutral
southwestair pwm direct orlando saturday happening march thought going permanent thing,neutral
southwestair yes guy act together,negative
southwestair unable check say itinerary ineligible checkin online go counter inconvenient,negative
southwestair wow thing better forgotten,neutral
southwestair thank great tool,positive
southwestair know crew today au pdx awesome swa,positive
southwestair thanks lot sending special deal budget getting screwed best vacation sarcasm new partner,negative
southwestair loyal alist customer easier help bring resolution issue reward program,negative
southwestair one answersno one help always different story fiancee cant helped,negative
southwestair dont worry,neutral
southwestair yes please train customer service agent correct protocol receiving different evrytime call,negative
southwestair never got notification cancelled flighted today correct phone email file happy customer,negative
southwestair sitting talking tech conference awesome guy rolled across luv guy lol,positive
southwestair flight nasbwi ton march,neutral
southwestair travel see bz class away sld anytime available know many anytime available,neutral
southwestair thanks look bwisjd service stop aug case cant find one date flight,neutral
southwestair luv fallow,neutral
southwestair thanks attention ive flying southwest year havent issue past,positive
southwestair pair ticket imaginedragons show atlanta id love go destinationdragons,positive
southwestair suggestion shade window kciairport traveler wont watch ur luggage handler throwing bag around,negative
southwestair please help ticket imaginedragons club show atlanta destinationdragons,neutral
southwestair perhaps pair atlanta show prettyplease,neutral
southwestair alist program complete joke company value loyal customerstime look another goto airliner,negative
southwestair whats pricing cache book refreshed page amp price jumped ridiculous,negative
southwestair imaginedragons destinationdragons tix spare wan na go see show friday la friend hayleymad,neutral
southwestair alist pref credit card holder called exclusive hung hold min give,negative
southwestair destinationdragons imaginedragons im huge fan love tix show,positive
southwestair following bad,neutral
southwestair bwisjd service seasonal wasnt part extension called intl desk didnt know want fly sept sat,negative
southwestair scott best thank yo bottom heartdestinationdragons friend la hayleymad see u friday,positive
southwestair must pm nonstop bosbna stop running august,negative
southwestair d d embossed badge patch superior one currently using httptcofqxelbon,neutral
southwestair now flying non stop cmhoak daydreaming trip bayespecially weather ohioprobz,neutral
southwestair flight yesterday treat nut pretzel origami magazine new policy oldpolicieswaybetter,negative
southwestair awful lost bag arent providing info day nothing worstairlineever,negative
southwestair cancelled flighted delayed expect full compensation park ticket hotel amp,negative
southwestair yeehaw found u another plane thx listening vent,positive
southwestair good chance anyone airport booking problem southwest,negative
southwestair costumer service representative lied ensured plane leaving scheduled,negative
southwestair mention now sit airport hour youve ruined trip happy want compensation,negative
southwestair need act together new morning plane malfunctioning yet ive delayed time,negative
southwestair brittanyobx keeping family apart w quirky archaic policy airline accommodates situation,negative
southwestair report filed support active searching feel pretty passive now info computer precious,negative
southwestair surprise surprise delay seems norm broken equipment,negative
southwestair unbelievable thank much destinationdragons,positive
southwestair amazing c today sw thank much reason fly southwest,positive
southwestair best airline one better onelove southwest bestairline,positive
southwestair great cabin crew morning great smile happy staff sign happy company thanks,positive
southwestair thank always going beyond customer service favoriteairline luvforsw southwestair,positive
southwestair yes,neutral
southwestair doesnt mean tsa precheck show mobile boarding pas ktn linked account,neutral
southwestair great news portcolumbuscmh today finally columbus top unserved market flight,positive
southwestair flight hrl limited route,neutral
southwestair really stepping service httptcovqtyzamzu,positive
